"","Year","civil.wars","onsets","states"
"1",1816,0,0,23
"2",1817,0,0,23
"3",1818,1,1,23
"4",1819,1,0,23
"5",1820,3,2,23
"6",1821,8,5,23
"7",1822,3,0,24
"8",1823,2,0,24
"9",1824,2,1,24
"10",1825,1,0,25
"11",1826,2,1,25
"12",1827,4,3,25
"13",1828,3,1,26
"14",1829,1,0,26
"15",1830,5,4,27
"16",1831,7,4,29
"17",1832,6,1,29
"18",1833,2,0,29
"19",1834,5,3,29
"20",1835,7,6,29
"21",1836,9,2,29
"22",1837,9,2,30
"23",1838,6,0,30
"24",1839,5,1,32
"25",1840,7,4,32
"26",1841,6,3,34
"27",1842,5,1,35
"28",1843,3,0,36
"29",1844,2,0,36
"30",1845,3,1,36
"31",1846,1,0,37
"32",1847,3,2,38
"33",1848,10,7,39
"34",1849,6,1,39
"35",1850,2,0,39
"36",1851,3,1,40
"37",1852,3,1,40
"38",1853,3,1,40
"39",1854,2,0,41
"40",1855,3,1,43
"41",1856,2,1,43
"42",1857,1,0,43
"43",1858,3,2,43
"44",1859,3,1,44
"45",1860,8,6,46
"46",1861,10,3,42
"47",1862,11,4,41
"48",1863,9,2,41
"49",1864,8,1,41
"50",1865,7,0,41
"51",1866,9,3,41
"52",1867,9,1,39
"53",1868,9,3,37
"54",1869,6,1,37
"55",1870,7,2,37
"56",1871,9,2,36
"57",1872,5,1,33
"58",1873,3,0,33
"59",1874,4,2,33
"60",1875,4,1,34
"61",1876,6,3,35
"62",1877,4,1,35
"63",1878,1,0,37
"64",1879,2,1,37
"65",1880,3,1,37
"66",1881,1,0,37
"67",1882,1,0,37
"68",1883,2,1,36
"69",1884,3,1,36
"70",1885,3,1,36
"71",1886,1,0,36
"72",1887,1,0,38
"73",1888,1,0,38
"74",1889,1,0,38
"75",1890,2,1,38
"76",1891,4,2,38
"77",1892,2,0,38
"78",1893,3,2,38
"79",1894,6,3,39
"80",1895,6,4,39
"81",1896,5,2,39
"82",1897,3,0,39
"83",1898,1,0,40
"84",1899,4,3,41
"85",1900,3,0,42
"86",1901,3,1,42
"87",1902,3,0,43
"88",1903,3,1,44
"89",1904,3,2,44
"90",1905,3,1,45
"91",1906,3,0,44
"92",1907,4,3,43
"93",1908,4,1,44
"94",1909,4,2,45
"95",1910,4,3,45
"96",1911,6,2,45
"97",1912,6,2,45
"98",1913,4,1,44
"99",1914,5,2,45
"100",1915,3,1,45
"101",1916,5,2,44
"102",1917,6,1,44
"103",1918,12,8,50
"104",1919,11,3,51
"105",1920,13,5,59
"106",1921,9,2,60
"107",1922,5,1,61
"108",1923,5,2,61
"109",1924,5,2,62
"110",1925,4,1,62
"111",1926,5,2,63
"112",1927,5,1,64
"113",1928,8,3,64
"114",1929,9,3,64
"115",1930,7,1,64
"116",1931,4,1,64
"117",1932,7,3,65
"118",1933,4,0,65
"119",1934,7,3,66
"120",1935,3,0,66
"121",1936,7,4,66
"122",1937,6,0,66
"123",1938,6,0,66
"124",1939,6,0,65
"125",1940,2,0,62
"126",1941,2,0,55
"127",1942,2,0,53
"128",1943,2,0,52
"129",1944,4,2,58
"130",1945,8,4,64
"131",1946,7,1,66
"132",1947,9,2,68
"133",1948,8,4,72
"134",1949,6,0,75
"135",1950,8,2,75
"136",1951,6,0,76
"137",1952,5,1,77
"138",1953,5,1,79
"139",1954,4,0,82
"140",1955,4,1,84
"141",1956,5,2,87
"142",1957,5,0,89
"143",1958,9,4,90
"144",1959,7,1,89
"145",1960,8,4,107
"146",1961,9,3,111
"147",1962,12,3,117
"148",1963,16,7,119
"149",1964,17,4,122
"150",1965,17,4,125
"151",1966,14,4,129
"152",1967,16,4,130
"153",1968,15,1,133
"154",1969,10,1,133
"155",1970,12,4,134
"156",1971,12,4,140
"157",1972,12,6,140
"158",1973,15,5,141
"159",1974,14,2,143
"160",1975,16,3,150
"161",1976,22,12,151
"162",1977,20,0,152
"163",1978,28,13,154
"164",1979,22,4,156
"165",1980,21,5,156
"166",1981,16,1,159
"167",1982,17,4,159
"168",1983,24,8,160
"169",1984,26,2,161
"170",1985,21,3,161
"171",1986,23,2,161
"172",1987,23,3,161
"173",1988,23,2,161
"174",1989,29,10,161
"175",1990,28,2,165
"176",1991,32,11,177
"177",1992,37,13,181
"178",1993,28,4,186
"179",1994,31,5,187
"180",1995,24,2,187
"181",1996,18,3,187
"182",1997,20,6,187
"183",1998,30,20,187
"184",1999,31,5,190
